Composition,Sample A,Sample B,TPS Cond W/m/K,Deviation,Synthesis Method,Relative Density %,Is Single Phase,Corrected Cond W/m/K,Lattice Parameter (Angstrom),Notes,Lattice Parameter a (A),Oxygen Parameter x,Anion Vacancy (delta),B-O Distance (A),B-O-B Angle (deg),Conductivity Type,CTE Value,Start Temp (°C),End Temp (°C),paper
"Yb,Ho",Ti,1.5253,0.014399,Hot Press from Pyrochlore 1400 C 35 Mpa 15 min,0.9627,Yes,1.709241789,10.07653,,,,,,,,,,,,
"Yb,Ho,Tb",Ti,1.7887,0.012586,Hot Press from Pyrochlore 1400 C 35 Mpa 15 min,0.9006,Yes,2.195121013,10.09559,,,,,,,,,,,,
"Yb,Ho,Tb,Nd",Ti,1.6582,0.014754,Hot Press from Pyrochlore 1400 C 35 Mpa 15 min,0.9377,Yes,1.924107258,10.11292,,,,,,,,,,,,
"Yb,Ho,Tb,Nd,Pr",Ti,1.5326,0.041654,Hot Press from Pyrochlore 1400 C 35 Mpa 15 min,,No,,10.18264,,,,,,,,,,,,
"Pr,Sm,Gd,Ho,Lu",Ti,1.5663,0.021983,SSS 1400C 20 Hr powder then 1600C 40 Hr,0.9152,Yes,1.890909262,10.17812,,,,,,,,,,,,
"Sm,Eu,Gd,Tb,Dy",Ti,2.0263,0.010614,SSS 1400C 20 Hr powder then 1600C 40 Hr,0.9277,Yes,2.358862271,10.184691,,,,,,,,,,,,
"Pr,Nd,Gd,Yb,Lu",Ti,1.4074,0.0071195,SSS 1400C 20 Hr powder then 1600C 40 Hr,0.9353,Yes,1.65363365,10.175423,,,,,,,,,,,,
"Pr,Sm,Gd,Ho,Lu",Ti,1.6402,0.0072793,Hot Press from Pyrochlore 1400 C 35 MPa 15 min,0.9519,Yes,1.861954207,10.17788,,,,,,,,,,,,
"Pr,Nd,Gd,Yb,Lu",Ti,1.5372,0.050293,Hot Press from Pyrochlore 1400 C 35 MPa 15 min,0.9334,Yes,1.803578213,10.17459,,,,,,,,,,,,
"Sm,Eu,Gd,Tb,Dy",Ti,2.1861,0.010599,Hot Press from Pyrochlore 1400 C 35 MPa 15 min,0.9596,Yes,2.405474741,10.18337,,,,,,,,,,,,
"Pr,Sm,Gd,Ho,Lu",Ti,1.5632,0.017468,SSS 1600C 40 Hr,0.923,Yes,1.8634952,10.17813232,,,,,,,,,,,,
"Pr,Nd,Gd,Yb,Lu",Ti,1.3101,0.0076589,SSS 1600C 40 Hr,0.9043,Yes,1.624552602,10.17715823,,,,,,,,,,,,
"Sm,Eu,Gd,Tb,Dy",Ti,1.9556,0.029175,SSS 1600C 40 Hr,0.8998,Yes,2.389176079,10.18087481,,,,,,,,,,,,
"Sm,Eu,Gd,Tb,Dy",Ti,2.0866,0.042452,Spark Plasma Sinter from Pyrochlore 1350C 37 MPa 10mintue,0.9632,Yes,2.291152684,10.186104,,,,,,,,,,,,
"Pr,Nd,Gd,Yb,Lu",Ti,1.4789,0.0034275,Spark Plasma Sinter from Pyrochlore 1350C 37 MPa 10mintue,0.9543,Yes,1.681864434,10.173943,,,,,,,,,,,,
